Name,Author,Rating,Review,Genre,Price,Year,User Rating,Reviews
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,,Non Fiction,46,2009,4.5,8580.0
Sookie Stackhouse,Charlaine Harris,,,Fiction,25,2009,4.7,973.0
StrengthsFinder 2.0,Gallup,,,Non Fiction,17,2009,4.0,5069.0
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,,,Non Fiction,18,2009,4.5,1583.0
The 5000 Year Leap,W. Cleon Skousen,,,Non Fiction,12,2009,4.8,1680.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,,Non Fiction,24,2009,4.6,9325.0
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,,,Non Fiction,53,2009,4.7,858.0
The Elegance of the Hedgehog,Muriel Barbery,,,Fiction,11,2009,4.0,1859.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,,Non Fiction,6,2009,4.6,3207.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,,,Non Fiction,9,2009,4.6,803.0
The Girl Who Played with Fire (Millennium),Stieg Larsson,,,Fiction,16,2009,4.7,7251.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,,,Fiction,2,2009,4.4,10559.0
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,,,Fiction,10,2009,4.7,8587.0
The Help,Kathryn Stockett,,,Fiction,6,2009,4.8,13871.0
The Last Lecture,Randy Pausch,,,Non Fiction,9,2009,4.7,4028.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,,,Fiction,7,2009,4.8,4628.0
The Lost Symbol,Dan Brown,,,Fiction,19,2009,4.2,8747.0
The Love Dare,Stephen Kendrick,,,Non Fiction,13,2009,4.8,1655.0
The Shack: Where Tragedy Confronts Eternity,William P. Young,,,Fiction,8,2009,4.6,19720.0
The Time Traveler's Wife,Audrey Niffenegger,,,Fiction,6,2009,4.4,3759.0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,,,Non Fiction,9,2009,4.4,3503.0
The Twilight Saga Collection,Stephenie Meyer,,,Fiction,82,2009,4.7,3801.0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,,,Non Fiction,11,2009,4.3,3319.0
True Compass: A Memoir,Edward M. Kennedy,,,Non Fiction,15,2009,4.5,438.0
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,,,Fiction,9,2009,4.7,11676.0
Under the Dome: A Novel,Stephen King,,,Fiction,20,2009,4.3,6740.0
Watchmen,Alan Moore,,,Fiction,42,2009,4.8,3829.0
Where the Wild Things Are,Maurice Sendak,,,Fiction,13,2009,4.8,9967.0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,,,Non Fiction,2,2010,4.6,460.0
"Autobiography of Mark Twain, Vol. 1",Mark Twain,,,Non Fiction,14,2010,4.2,491.0
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,,,Non Fiction,21,2010,4.7,615.0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,,,Non Fiction,8,2010,4.5,471.0
Catching Fire (The Hunger Games),Suzanne Collins,,,Fiction,11,2010,4.7,22614.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,,Non Fiction,14,2010,4.7,1542.0
Cutting for Stone,Abraham Verghese,,,Fiction,11,2010,4.6,4866.0
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,,,Fiction,8,2010,4.3,1924.0
Decision Points,George W. Bush,,,Non Fiction,17,2010,4.6,2137.0
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,,,Non Fiction,15,2010,4.6,1651.0
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,,,Non Fiction,16,2010,4.5,2525.0
Food Rules: An Eater's Manual,Michael Pollan,,,Non Fiction,9,2010,4.4,1555.0
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,,,Non Fiction,9,2010,4.4,1215.0
George Washington's Sacred Fire,Peter A. Lillback,,,Non Fiction,20,2010,4.5,408.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,,Non Fiction,14,2010,4.5,3457.0
Life,Keith Richards,,,Non Fiction,18,2010,4.5,2752.0
Little Bee: A Novel,Chris Cleave,,,Fiction,10,2010,4.1,1467.0
Mockingjay (The Hunger Games),Suzanne Collins,,,Fiction,8,2010,4.5,26741.0
Outliers: The Story of Success,Malcolm Gladwell,,,Non Fiction,20,2010,4.6,10426.0
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,,,Fiction,2,2010,4.8,548.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,,Non Fiction,46,2010,4.5,8580.0
Radical: Taking Back Your Faith from the American Dream,David Platt,,,Non Fiction,9,2010,4.7,1985.0
Sarah's Key,Tatiana de Rosnay,,,Fiction,10,2010,4.6,3619.0
Sh*t My Dad Says,Justin Halpern,,,Non Fiction,11,2010,4.7,1265.0
StrengthsFinder 2.0,Gallup,,,Non Fiction,17,2010,4.0,5069.0
Switch: How to Change Things When Change Is Hard,Chip Heath,,,Non Fiction,13,2010,4.6,1907.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,,,Non Fiction,20,2010,4.4,637.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,,,Non Fiction,28,2010,4.7,3477.0
The Art of Racing in the Rain: A Novel,Garth Stein,,,Fiction,10,2010,4.7,11813.0
The Big Short: Inside the Doomsday Machine,Michael Lewis,,,Non Fiction,17,2010,4.7,3536.0
The Confession: A Novel,John Grisham,,,Fiction,13,2010,4.3,3523.0
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,,,Non Fiction,11,2010,4.4,440.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,,Non Fiction,6,2010,4.6,3207.0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,,,Fiction,14,2010,4.7,7747.0
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,,,Fiction,9,2010,4.7,7251.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,,,Fiction,2,2010,4.4,10559.0
The Help,Kathryn Stockett,,,Fiction,6,2010,4.8,13871.0
The Hunger Games,Suzanne Collins,,,Fiction,14,2010,4.7,32122.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,,,Non Fiction,13,2010,4.7,9289.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,,,Fiction,7,2010,4.8,4628.0
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,,,Fiction,14,2010,4.8,4506.0
The Official SAT Study Guide,The College Board,,,Non Fiction,40,2010,4.4,1201.0
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,,,Fiction,12,2010,4.6,2186.0
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,,,Non Fiction,14,2010,4.6,1204.0
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,,,Fiction,0,2010,4.6,2122.0
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,,,Fiction,12,2010,4.8,3796.0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,,,Non Fiction,11,2010,4.3,3319.0
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,,,Fiction,21,2010,4.8,2282.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,,,Non Fiction,16,2010,4.8,29673.0
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,,,Non Fiction,11,2010,4.2,1302.0
11/22/63: A Novel,Stephen King,,,Fiction,22,2011,4.6,2052.0
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,,,Fiction,11,2011,4.4,12643.0
A Stolen Life: A Memoir,Jaycee Dugard,,,Non Fiction,32,2011,4.6,4149.0
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,,,Fiction,0,2011,4.8,4505.0
Catching Fire (The Hunger Games),Suzanne Collins,,,Fiction,11,2011,4.7,22614.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,,Non Fiction,14,2011,4.7,1542.0
Cutting for Stone,Abraham Verghese,,,Fiction,11,2011,4.6,4866.0
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,,,Fiction,4,2011,4.2,2094.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,,,Non Fiction,9,2011,4.5,6346.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,,Fiction,5,2011,4.6,5594.0
Go the F**k to Sleep,Adam Mansbach,,,Fiction,9,2011,4.8,9568.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,,Non Fiction,14,2011,4.5,3457.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,,,Non Fiction,10,2011,4.7,15779.0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,,,Non Fiction,21,2011,4.4,4571.0
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,,,Fiction,20,2011,4.6,5299.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,Non Fiction,8,2011,4.9,19576.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,,,Non Fiction,10,2011,4.7,9342.0
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,,,Non Fiction,13,2011,4.2,1649.0
Mockingjay (The Hunger Games),Suzanne Collins,,,Fiction,8,2011,4.5,26741.0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,,,Non Fiction,13,2011,4.6,3163.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,,Non Fiction,46,2011,4.5,8580.0
Radical: Taking Back Your Faith from the American Dream,David Platt,,,Non Fiction,9,2011,4.7,1985.0
Steve Jobs,Walter Isaacson,,,Non Fiction,20,2011,4.6,7827.0
StrengthsFinder 2.0,Gallup,,,Non Fiction,17,2011,4.0,5069.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,,,Non Fiction,20,2011,4.4,637.0
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,,,Non Fiction,22,2011,4.3,2314.0
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,,,Non Fiction,21,2011,4.3,4587.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,,,Non Fiction,28,2011,4.7,3477.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,,Non Fiction,24,2011,4.6,9325.0
The Art of Racing in the Rain: A Novel,Garth Stein,,,Fiction,10,2011,4.7,11813.0
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,,,Non Fiction,21,2011,4.7,4633.0
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,,,Non Fiction,15,2011,4.1,2023.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,,Non Fiction,6,2011,4.6,3207.0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,,,Fiction,14,2011,4.7,7747.0
The Help,Kathryn Stockett,,,Fiction,8,2011,4.8,13871.0
The Help,Kathryn Stockett,,,Fiction,7,2011,4.8,13871.0
The Hunger Games (Book 1),Suzanne Collins,,,Fiction,8,2011,4.7,32122.0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,,,Fiction,30,2011,4.8,16949.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,,,Non Fiction,9,2011,4.7,9289.0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,,,Non Fiction,13,2011,4.4,4247.0
The Litigators,John Grisham,,,Fiction,18,2011,4.4,6222.0
The Official SAT Study Guide,The College Board,,,Non Fiction,40,2011,4.4,1201.0
The Paris Wife: A Novel,Paula McLain,,,Fiction,16,2011,4.3,3759.0
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,,,Fiction,10,2011,4.8,4290.0
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,,,Fiction,10,2011,4.7,1463.0
"Thinking, Fast and Slow",Daniel Kahneman,,,Non Fiction,19,2011,4.6,11034.0
Tina Fey: Bossypants,Tina Fey,,,Non Fiction,12,2011,4.3,5977.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,,,Non Fiction,16,2011,4.8,29673.0
Water for Elephants: A Novel,Sara Gruen,,,Fiction,12,2011,4.5,8958.0
What to Expect When You're Expecting,Heidi Murkoff,,,Non Fiction,9,2011,4.4,3341.0
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,,,Non Fiction,24,2012,4.8,1296.0
Catching Fire (The Hunger Games),Suzanne Collins,,,Fiction,11,2012,4.7,22614.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,,,Non Fiction,9,2012,4.5,6346.0
Fifty Shades Darker,E L James,,,Fiction,7,2012,4.4,23631.0
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,,,Fiction,11,2012,4.5,20262.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,,,Fiction,14,2012,3.8,47265.0
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,,,Fiction,32,2012,4.5,13964.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,,Fiction,5,2012,4.6,5594.0
Gone Girl,Gillian Flynn,,,Fiction,10,2012,4.0,57271.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,,Non Fiction,14,2012,4.5,3457.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,,,Fiction,7,2012,4.9,7038.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,,,Non Fiction,10,2012,4.7,15779.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,Non Fiction,8,2012,4.9,19576.0
Killing Kennedy: The End of Camelot,Bill O'Reilly,,,Non Fiction,25,2012,4.6,8634.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,,,Non Fiction,10,2012,4.7,9342.0
Mockingjay (The Hunger Games),Suzanne Collins,,,Fiction,8,2012,4.5,26741.0
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,,,Non Fiction,14,2012,4.6,8093.0
"Oh, the Places You'll Go!",Dr. Seuss,,,Fiction,8,2012,4.9,21834.0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,,,Non Fiction,13,2012,4.6,3163.0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,,,Non Fiction,10,2012,4.3,13616.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,,Non Fiction,46,2012,4.5,8580.0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,,,Non Fiction,20,2012,4.6,10009.0
Steve Jobs,Walter Isaacson,,,Non Fiction,20,2012,4.6,7827.0
StrengthsFinder 2.0,Gallup,,,Non Fiction,17,2012,4.0,5069.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,,,Non Fiction,28,2012,4.7,3477.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,,Non Fiction,24,2012,4.6,9325.0
The Amateur,Edward Klein,,,Non Fiction,9,2012,4.6,2580.0
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,,,Non Fiction,14,2012,4.2,1789.0
The Casual Vacancy,J.K. Rowling,,,Fiction,12,2012,3.3,9372.0
The Fault in Our Stars,John Green,,,Fiction,13,2012,4.7,50482.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,,Non Fiction,6,2012,4.6,3207.0
The Great Gatsby,F. Scott Fitzgerald,,,Fiction,7,2012,4.4,11616.0
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,,,Fiction,13,2012,4.6,11098.0
The Hunger Games (Book 1),Suzanne Collins,,,Fiction,8,2012,4.7,32122.0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,,,Fiction,30,2012,4.8,16949.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,,,Non Fiction,9,2012,4.7,9289.0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,,,Non Fiction,13,2012,4.4,4247.0
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,,,Fiction,10,2012,4.8,6247.0
The Official SAT Study Guide,The College Board,,,Non Fiction,40,2012,4.4,1201.0
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,,,Non Fiction,21,2012,4.8,2876.0
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,,,Non Fiction,21,2012,4.6,10795.0
The Racketeer,John Grisham,,,Fiction,18,2012,4.3,14493.0
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,,,Fiction,12,2012,4.8,2091.0
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,,,Fiction,7,2012,4.7,6377.0
"Thinking, Fast and Slow",Daniel Kahneman,,,Non Fiction,19,2012,4.6,11034.0
Thomas Jefferson: The Art of Power,Jon Meacham,,,Non Fiction,23,2012,4.5,1904.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,,,Non Fiction,16,2012,4.8,29673.0
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,,,Non Fiction,6,2012,4.4,7497.0
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,,,Non Fiction,18,2012,4.4,17044.0
Winter of the World: Book Two of the Century Trilogy,Ken Follett,,,Fiction,15,2012,4.5,10760.0
Allegiant,Veronica Roth,,,Fiction,13,2013,3.9,6310.0
And the Mountains Echoed,Khaled Hosseini,,,Fiction,13,2013,4.3,12159.0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,,,Non Fiction,10,2013,4.8,1329.0
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,,,Non Fiction,13,2013,4.4,4642.0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,,,Non Fiction,105,2013,4.5,6679.0
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,,,Fiction,0,2013,4.8,6812.0
Divergent,Veronica Roth,,,Fiction,15,2013,4.6,27098.0
Doctor Sleep: A Novel,Stephen King,,,Fiction,13,2013,4.7,15845.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,,,Fiction,14,2013,3.8,47265.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,,Fiction,5,2013,4.6,5594.0
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,,,Non Fiction,16,2013,4.6,4799.0
Gone Girl,Gillian Flynn,,,Fiction,10,2013,4.0,57271.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,,,Fiction,7,2013,4.9,7038.0
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,,,Non Fiction,11,2013,4.8,4148.0
Humans of New York,Brandon Stanton,,,Non Fiction,15,2013,4.8,3490.0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,,,Non Fiction,17,2013,4.7,4896.0
Inferno,Dan Brown,,,Fiction,14,2013,4.1,29651.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,,Non Fiction,8,2013,4.9,19576.0
Joyland (Hard Case Crime),Stephen King,,,Fiction,12,2013,4.5,4748.0
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,,,Non Fiction,12,2013,4.5,11391.0
Knock-Knock Jokes for Kids,Rob Elliott,,,Non Fiction,4,2013,4.5,3673.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,,,Non Fiction,4,2013,4.6,6990.0
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,,,Non Fiction,13,2013,4.5,6132.0
"Oh, the Places You'll Go!",Dr. Seuss,,,Fiction,8,2013,4.9,21834.0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,,,Non Fiction,10,2013,4.3,13616.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,,Non Fiction,46,2013,4.5,8580.0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,,,Non Fiction,7,2013,4.6,10009.0
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,,,Fiction,12,2013,4.9,7150.0
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,,,Non Fiction,6,2013,4.1,2272.0
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,,,Non Fiction,17,2013,4.6,220.0
StrengthsFinder 2.0,Gallup,,,Non Fiction,17,2013,4.0,5069.0
Sycamore Row (Jake Brigance),John Grisham,,,Fiction,18,2013,4.5,23114.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,,,Non Fiction,28,2013,4.7,3477.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,,Non Fiction,24,2013,4.6,9325.0
The Book Thief,Markus Zusak,,,Fiction,6,2013,4.6,23148.0
The Day the Crayons Quit,Drew Daywalt,,,Fiction,9,2013,4.8,8922.0
The Fault in Our Stars,John Green,,,Fiction,13,2013,4.7,50482.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,,Non Fiction,6,2013,4.6,3207.0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,,,Non Fiction,6,2013,4.7,23308.0
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,,,Fiction,20,2013,3.9,33844.0
The Great Gatsby,F. Scott Fitzgerald,,,Fiction,7,2013,4.4,11616.0
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,,,Fiction,14,2013,4.8,6982.0
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,,,Fiction,20,2013,4.9,5396.0
The Official SAT Study Guide,The College Board,,,Non Fiction,40,2013,4.4,1201.0
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,,,Non Fiction,17,2013,4.8,2663.0
The Very Hungry Caterpillar,Eric Carle,,,Fiction,5,2013,4.9,19546.0
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,,,Non Fiction,15,2013,4.7,7034.0
To Kill a Mockingbird,Harper Lee,,,Fiction,0,2013,4.8,26234.0
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,,,Non Fiction,6,2013,4.4,7497.0
Wonder,R. J. Palacio,,,Fiction,9,2013,4.8,21625.0
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,,,Fiction,30,2014,4.7,19735.0
All the Light We Cannot See,Anthony Doerr,,,Fiction,14,2014,4.6,36348.0
Capital in the Twenty First Century,Thomas Piketty,,,Non Fiction,28,2014,4.5,2884.0
